開国	名詞,サ変接続,*,*,*,*,開国,カイコク,カイコク
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
付加価値	名詞,固有名詞,一般,*,*,*,付加価値,フカカチ,フカカチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
生み出し	動詞,自立,*,*,五段・サ行,連用形,生み出す,ウミダシ,ウミダシ
、	記号,読点,*,*,*,*,、,、,、
持続	名詞,サ変接続,*,*,*,*,持続,ジゾク,ジゾク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
成長	名詞,サ変接続,*,*,*,*,成長,セイチョウ,セイチョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
確保	名詞,サ変接続,*,*,*,*,確保,カクホ,カクホ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
「	記号,括弧開,*,*,*,*,「,「,「
より	副詞,一般,*,*,*,*,より,ヨリ,ヨリ
安く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,安い,ヤスク,ヤスク
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
より	副詞,一般,*,*,*,*,より,ヨリ,ヨリ
良い	形容詞,自立,*,*,形容詞・アウオ段,基本形,良い,ヨイ,ヨイ
」	記号,括弧閉,*,*,*,*,」,」,」
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
挑戦	名詞,サ変接続,*,*,*,*,挑戦,チョウセン,チョーセン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
、	記号,読点,*,*,*,*,、,、,、
イノベーション	名詞,一般,*,*,*,*,イノベーション,イノベーション,イノベーション
型	名詞,接尾,一般,*,*,*,型,ガタ,ガタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
経済	名詞,一般,*,*,*,*,経済,ケイザイ,ケイザイ
成長	名詞,サ変接続,*,*,*,*,成長,セイチョウ,セイチョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
転換	名詞,サ変接続,*,*,*,*,転換,テンカン,テンカン
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
なり	動詞,非自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
模倣	名詞,サ変接続,*,*,*,*,模倣,モホウ,モホー
、	記号,読点,*,*,*,*,、,、,、
過酷	名詞,形容動詞語幹,*,*,*,*,過酷,カコク,カコク
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
労働	名詞,サ変接続,*,*,*,*,労働,ロウドウ,ロードー
、	記号,読点,*,*,*,*,、,、,、
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
負荷	名詞,サ変接続,*,*,*,*,負荷,フカ,フカ
。	記号,句点,*,*,*,*,。,。,。
安かろう悪かろう	名詞,固有名詞,一般,*,*,*,安かろう悪かろう,ヤスカロウワルカロウ,ヤスカロウワルカロー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
マーケット	名詞,一般,*,*,*,*,マーケット,マーケット,マーケット
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
一掃	名詞,サ変接続,*,*,*,*,一掃,イッソウ,イッソー
す	動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
二十一世紀	名詞,固有名詞,一般,*,*,*,二十一世紀,ニジュウイッセイキ,ニジュウイッセイキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ふさわしい	形容詞,自立,*,*,形容詞・イ段,基本形,ふさわしい,フサワシイ,フサワシイ
経済ルール	名詞,固有名詞,一般,*,*,*,経済ルール,ケイザイルール,ケイザイルール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
広げる	動詞,自立,*,*,一段,基本形,広げる,ヒロゲル,ヒロゲル
、	記号,読点,*,*,*,*,、,、,、
大いなる	連体詞,*,*,*,*,*,大いなる,オオイナル,オーイナル
「	記号,括弧開,*,*,*,*,「,「,「
挑戦	名詞,サ変接続,*,*,*,*,挑戦,チョウセン,チョーセン
」	記号,括弧閉,*,*,*,*,」,」,」
。	記号,句点,*,*,*,*,。,。,。
TPP	名詞,固有名詞,一般,*,*,*,TPP,ティピーピー,ティピーピー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
一	名詞,数,*,*,*,*,一,イチ,イチ
歩	名詞,接尾,助数詞,*,*,*,歩,ホ,ホ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
イノベーション	名詞,一般,*,*,*,*,イノベーション,イノベーション,イノベーション
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
次々	副詞,助詞類接続,*,*,*,*,次々,ツギツギ,ツギツギ
と	助詞,副詞化,*,*,*,*,と,ト,ト
生み出す	動詞,自立,*,*,五段・サ行,基本形,生み出す,ウミダス,ウミダス
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
変革	名詞,サ変接続,*,*,*,*,変革,ヘンカク,ヘンカク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
鍵	名詞,一般,*,*,*,*,鍵,カギ,カギ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
多様	名詞,形容動詞語幹,*,*,*,*,多様,タヨウ,タヨー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
三	名詞,数,*,*,*,*,三,サン,サン
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
寄れ	動詞,自立,*,*,五段・ラ行,仮定形,寄る,ヨレ,ヨレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
文殊	名詞,一般,*,*,*,*,文殊,モンジュ,モンジュ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
知恵	名詞,一般,*,*,*,*,知恵,チエ,チエ
。	記号,句点,*,*,*,*,。,。,。
多様性	名詞,固有名詞,一般,*,*,*,多様性,タヨウセイ,タヨウセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
新た	名詞,形容動詞語幹,*,*,*,*,新た,アラタ,アラタ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
アイデア	名詞,一般,*,*,*,*,アイデア,アイデア,アイデア
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ
、	記号,読点,*,*,*,*,、,、,、
イノベーション	名詞,一般,*,*,*,*,イノベーション,イノベーション,イノベーション
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
起こる	動詞,自立,*,*,五段・ラ行,基本形,起こる,オコル,オコル
。	記号,句点,*,*,*,*,。,。,。
「	記号,括弧開,*,*,*,*,「,「,「
一	名詞,数,*,*,*,*,一,イチ,イチ
億	名詞,数,*,*,*,*,億,オク,オク
総	接頭詞,名詞接続,*,*,*,*,総,ソウ,ソー
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
」	記号,括弧閉,*,*,*,*,」,」,」
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
そうした	連体詞,*,*,*,*,*,そうした,ソウシタ,ソーシタ
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
経済	名詞,一般,*,*,*,*,経済,ケイザイ,ケイザイ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
システム	名詞,一般,*,*,*,*,システム,システム,システム
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
創る	動詞,自立,*,*,五段・ラ行,基本形,創る,ツクル,ツクル
「	記号,括弧開,*,*,*,*,「,「,「
挑戦	名詞,サ変接続,*,*,*,*,挑戦,チョウセン,チョーセン
」	記号,括弧閉,*,*,*,*,」,」,」
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
自然	名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
共存	名詞,サ変接続,*,*,*,*,共存,キョウゾン,キョーゾン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
育ま	動詞,自立,*,*,五段・マ行,未然形,育む,ハグクマ,ハグクマ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
、	記号,読点,*,*,*,*,、,、,、
おいしく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,おいしい,オイシク,オイシク
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
安全	名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
農産物	名詞,一般,*,*,*,*,農産物,ノウサンブツ,ノーサンブツ
。	記号,句点,*,*,*,*,。,。,。
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
調和	名詞,サ変接続,*,*,*,*,調和,チョウワ,チョーワ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
最大限	名詞,一般,*,*,*,*,最大限,サイダイゲン,サイダイゲン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
省エネ	名詞,一般,*,*,*,*,省エネ,ショウエネ,ショーエネ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
追求	名詞,サ変接続,*,*,*,*,追求,ツイキュウ,ツイキュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
「	記号,括弧開,*,*,*,*,「,「,「
メイド・イン・ジャパン	名詞,固有名詞,一般,*,*,*,メイド・イン・ジャパン,メイドインジャパン,メイドインジャパン
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
品質	名詞,一般,*,*,*,*,品質,ヒンシツ,ヒンシツ
。	記号,句点,*,*,*,*,。,。,。
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
古来	名詞,一般,*,*,*,*,古来,コライ,コライ
、	記号,読点,*,*,*,*,、,、,、
付加価値	名詞,固有名詞,一般,*,*,*,付加価値,フカカチ,フカカチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ
ものづくり	名詞,固有名詞,一般,*,*,*,ものづくり,モノヅクリ,モノヅクリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実践	名詞,サ変接続,*,*,*,*,実践,ジッセン,ジッセン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
マインド	名詞,一般,*,*,*,*,マインド,マインド,マインド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
広げる	動詞,自立,*,*,一段,基本形,広げる,ヒロゲル,ヒロゲル
。	記号,句点,*,*,*,*,。,。,。
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
リーダーシップ	名詞,一般,*,*,*,*,リーダーシップ,リーダーシップ,リーダーシップ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
求め	動詞,自立,*,*,一段,未然形,求める,モトメ,モトメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
伊勢神宮	名詞,固有名詞,一般,*,*,*,伊勢神宮,イセジングウ,イセジングー
、	記号,読点,*,*,*,*,、,、,、
美しい	形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ
入江	名詞,一般,*,*,*,*,入江,イリエ,イリエ
。	記号,句点,*,*,*,*,。,。,。
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
長い	形容詞,自立,*,*,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ
伝統	名詞,一般,*,*,*,*,伝統,デントウ,デントー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
文化	名詞,一般,*,*,*,*,文化,ブンカ,ブンカ
、	記号,読点,*,*,*,*,、,、,、
豊か	名詞,形容動詞語幹,*,*,*,*,豊か,ユタカ,ユタカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
自然	名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
感じ	動詞,自立,*,*,一段,未然形,感じる,カンジ,カンジ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
、	記号,読点,*,*,*,*,、,、,、
伊勢志摩	名詞,固有名詞,一般,*,*,*,伊勢志摩,イセシマ,イセシマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
地	名詞,一般,*,*,*,*,地,チ,チ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
開く	動詞,自立,*,*,五段・カ行イ音便,基本形,開く,ヒラク,ヒラク
五月	名詞,副詞可能,*,*,*,*,五月,ゴガツ,ゴガツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
サミット	名詞,一般,*,*,*,*,サミット,サミット,サミット
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
大きな	連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ
舞台	名詞,一般,*,*,*,*,舞台,ブタイ,ブタイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
基本的価値	名詞,固有名詞,一般,*,*,*,基本的価値,キホンテキカチ,キホンテキカチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
共有	名詞,サ変接続,*,*,*,*,共有,キョウユウ,キョーユー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
国	名詞,接尾,一般,*,*,*,国,コク,コク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
リーダー	名詞,一般,*,*,*,*,リーダー,リーダー,リーダー
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
世界経済	名詞,固有名詞,一般,*,*,*,世界経済,セカイケイザイ,セカイケイザイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
未来	名詞,一般,*,*,*,*,未来,ミライ,ミライ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
論じ	動詞,自立,*,*,一段,連用形,論じる,ロンジ,ロンジ
、	記号,読点,*,*,*,*,、,、,、
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
「	記号,括弧開,*,*,*,*,「,「,「
挑戦	名詞,サ変接続,*,*,*,*,挑戦,チョウセン,チョーセン
」	記号,括弧閉,*,*,*,*,」,」,」
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
始める	動詞,自立,*,*,一段,基本形,始める,ハジメル,ハジメル
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
サミット	名詞,一般,*,*,*,*,サミット,サミット,サミット
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
決意	名詞,サ変接続,*,*,*,*,決意,ケツイ,ケツイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
人口	名詞,一般,*,*,*,*,人口,ジンコウ,ジンコー
八	名詞,数,*,*,*,*,八,ハチ,ハチ
億	名詞,数,*,*,*,*,億,オク,オク
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
、	記号,読点,*,*,*,*,、,、,、
GDP	名詞,固有名詞,一般,*,*,*,GDP,ジーディーピー,ジーディーピー
三	名詞,数,*,*,*,*,三,サン,サン
千	名詞,数,*,*,*,*,千,セン,セン
兆	名詞,数,*,*,*,*,兆,チョウ,チョー
円	名詞,接尾,助数詞,*,*,*,円,エン,エン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
超える	動詞,自立,*,*,一段,基本形,超える,コエル,コエル
巨大	名詞,形容動詞語幹,*,*,*,*,巨大,キョダイ,キョダイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
経済	名詞,一般,*,*,*,*,経済,ケイザイ,ケイザイ
圏	名詞,接尾,一般,*,*,*,圏,ケン,ケン
。	記号,句点,*,*,*,*,。,。,。
TPP	名詞,固有名詞,一般,*,*,*,TPP,ティピーピー,ティピーピー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
誕生	名詞,サ変接続,*,*,*,*,誕生,タンジョウ,タンジョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
我が国	名詞,一般,*,*,*,*,我が国,ワガクニ,ワガクニ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
GDP	名詞,固有名詞,一般,*,*,*,GDP,ジーディーピー,ジーディーピー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
四	名詞,数,*,*,*,*,四,ヨン,ヨン
兆	名詞,数,*,*,*,*,兆,チョウ,チョー
円	名詞,接尾,助数詞,*,*,*,円,エン,エン
