まず	副詞,一般,*,*,*,*,まず,マズ,マズ
、	記号,読点,*,*,*,*,、,、,、
不	接頭詞,名詞接続,*,*,*,*,不,フ,フ
拡散	名詞,サ変接続,*,*,*,*,拡散,カクサン,カクサン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
リード	名詞,サ変接続,*,*,*,*,リード,リード,リード
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
国連	名詞,固有名詞,組織,*,*,*,国連,コクレン,コクレン
創設	名詞,サ変接続,*,*,*,*,創設,ソウセツ,ソーセツ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
七	名詞,数,*,*,*,*,七,ナナ,ナナ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
にあたる	助詞,格助詞,連語,*,*,*,にあたる,ニアタル,ニアタル
本年	名詞,副詞可能,*,*,*,*,本年,ホンネン,ホンネン
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
安全保障理事会	名詞,固有名詞,一般,*,*,*,安全保障理事会,アンゼンホショウリジカイ,アンゼンホショウリジカイ
・	記号,一般,*,*,*,*,・,・,・
非常任理事国	名詞,固有名詞,一般,*,*,*,非常任理事国,ヒジョウニンリジコク,ヒジョウニンリジコク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
立候補	名詞,サ変接続,*,*,*,*,立候補,リッコウホ,リッコーホ
いたし	動詞,非自立,*,*,五段・サ行,連用形,いたす,イタシ,イタシ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
、	記号,読点,*,*,*,*,、,、,、
国連	名詞,固有名詞,組織,*,*,*,国連,コクレン,コクレン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
二十一世紀	名詞,固有名詞,一般,*,*,*,二十一世紀,ニジュウイッセイキ,ニジュウイッセイキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ふさわしい	形容詞,自立,*,*,形容詞・イ段,基本形,ふさわしい,フサワシイ,フサワシイ
姿	名詞,一般,*,*,*,*,姿,スガタ,スガタ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
改革	名詞,サ変接続,*,*,*,*,改革,カイカク,カイカク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
大きな	連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ
役割	名詞,一般,*,*,*,*,役割,ヤクワリ,ヤクワリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
果たす	動詞,自立,*,*,五段・サ行,基本形,果たす,ハタス,ハタス
決意	名詞,サ変接続,*,*,*,*,決意,ケツイ,ケツイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
本年	名詞,副詞可能,*,*,*,*,本年,ホンネン,ホンネン
こそ	助詞,係助詞,*,*,*,*,こそ,コソ,コソ
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
積極的平和主義	名詞,固有名詞,一般,*,*,*,積極的平和主義,セッキョクテキヘイワシュギ,セッキョクテキヘイワシュギ
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
旗	名詞,一般,*,*,*,*,旗,ハタ,ハタ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
一層	副詞,助詞類接続,*,*,*,*,一層,イッソウ,イッソー
高く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,高い,タカク,タカク
掲げ	動詞,自立,*,*,一段,連用形,掲げる,カカゲ,カカゲ
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
信頼	名詞,サ変接続,*,*,*,*,信頼,シンライ,シンライ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
国	名詞,一般,*,*,*,*,国,クニ,クニ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
。	記号,句点,*,*,*,*,。,。,。
戦後	名詞,副詞可能,*,*,*,*,戦後,センゴ,センゴ
七	名詞,数,*,*,*,*,七,ナナ,ナナ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ふさわしい	形容詞,自立,*,*,形容詞・イ段,基本形,ふさわしい,フサワシイ,フサワシイ
一年	名詞,固有名詞,一般,*,*,*,一年,イチネン,イチネン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いき	動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
。	記号,句点,*,*,*,*,。,。,。
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
今後	名詞,副詞可能,*,*,*,*,今後,コンゴ,コンゴ
も	助詞,係助詞,*,*,*,*,も,モ,モ
、	記号,読点,*,*,*,*,、,、,、
豪州	名詞,固有名詞,地域,国,*,*,豪州,ゴウシュウ,ゴーシュー
、	記号,読点,*,*,*,*,、,、,、
ASEAN	名詞,固有名詞,一般,*,*,*,ASEAN,アセアン,アセアン
諸国	名詞,一般,*,*,*,*,諸国,ショコク,ショコク
、	記号,読点,*,*,*,*,、,、,、
インド	名詞,固有名詞,地域,国,*,*,インド,インド,インド
、	記号,読点,*,*,*,*,、,、,、
欧州諸国	名詞,固有名詞,一般,*,*,*,欧州諸国,オウシュウショコク,オウシュウショコク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
自由	名詞,形容動詞語幹,*,*,*,*,自由,ジユウ,ジユー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
民主主義	名詞,固有名詞,一般,*,*,*,民主主義,ミンシュシュギ,ミンシュシュギ
、	記号,読点,*,*,*,*,、,、,、
基本的人権	名詞,固有名詞,一般,*,*,*,基本的人権,キホンテキジンケン,キホンテキジンケン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
法	名詞,一般,*,*,*,*,法,ホウ,ホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
支配	名詞,サ変接続,*,*,*,*,支配,シハイ,シハイ
といった	助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ
基本的価値	名詞,固有名詞,一般,*,*,*,基本的価値,キホンテキカチ,キホンテキカチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
共有	名詞,サ変接続,*,*,*,*,共有,キョウユウ,キョーユー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
国々	名詞,一般,*,*,*,*,国々,クニグニ,クニグニ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
連携	名詞,サ変接続,*,*,*,*,連携,レンケイ,レンケイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、	記号,読点,*,*,*,*,、,、,、
地球儀	名詞,一般,*,*,*,*,地球儀,チキュウギ,チキューギ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
俯瞰	名詞,サ変接続,*,*,*,*,俯瞰,フカン,フカン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
視点	名詞,一般,*,*,*,*,視点,シテン,シテン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
積極	名詞,形容動詞語幹,*,*,*,*,積極,セッキョク,セッキョク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
外交	名詞,一般,*,*,*,*,外交,ガイコウ,ガイコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
展開	名詞,サ変接続,*,*,*,*,展開,テンカイ,テンカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
基軸	名詞,一般,*,*,*,*,基軸,キジク,キジク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
日米同盟	名詞,固有名詞,一般,*,*,*,日米同盟,ニチベイドウメイ,ニチベイドウメイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
二	名詞,数,*,*,*,*,二,ニ,ニ
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
、	記号,読点,*,*,*,*,、,、,、
日米同盟	名詞,固有名詞,一般,*,*,*,日米同盟,ニチベイドウメイ,ニチベイドウメイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
絆	名詞,一般,*,*,*,*,絆,キズナ,キズナ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
復活	名詞,サ変接続,*,*,*,*,復活,フッカツ,フッカツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
揺るぎない	形容詞,自立,*,*,形容詞・アウオ段,基本形,揺るぎない,ユルギナイ,ユルギナイ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
日	名詞,固有名詞,地域,国,*,*,日,ニチ,ニチ
米	名詞,固有名詞,地域,国,*,*,米,ベイ,ベイ
ガイドライン	名詞,一般,*,*,*,*,ガイドライン,ガイドライン,ガイドライン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
見直し	名詞,一般,*,*,*,*,見直し,ミナオシ,ミナオシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
抑止	名詞,サ変接続,*,*,*,*,抑止,ヨクシ,ヨクシ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
一層	副詞,助詞類接続,*,*,*,*,一層,イッソウ,イッソー
高め	動詞,自立,*,*,一段,連用形,高める,タカメ,タカメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
現行	名詞,一般,*,*,*,*,現行,ゲンコウ,ゲンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日	名詞,固有名詞,地域,国,*,*,日,ニチ,ニチ
米	名詞,固有名詞,地域,国,*,*,米,ベイ,ベイ
合意	名詞,サ変接続,*,*,*,*,合意,ゴウイ,ゴーイ
に従って	助詞,格助詞,連語,*,*,*,に従って,ニシタガッテ,ニシタガッテ
、	記号,読点,*,*,*,*,、,、,、
在日米軍再編	名詞,固有名詞,一般,*,*,*,在日米軍再編,ザイニチベイグンサイヘン,ザイニチベイグンサイヘン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
三月	名詞,副詞可能,*,*,*,*,三月,サンガツ,サンガツ
末	名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
西	名詞,一般,*,*,*,*,西,ニシ,ニシ
普天間	名詞,固有名詞,地域,一般,*,*,普天間,フテンマ,フテンマ
住宅	名詞,一般,*,*,*,*,住宅,ジュウタク,ジュータク
地区	名詞,一般,*,*,*,*,地区,チク,チク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
返還	名詞,サ変接続,*,*,*,*,返還,ヘンカン,ヘンカン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
実現	名詞,サ変接続,*,*,*,*,実現,ジツゲン,ジツゲン
いたし	動詞,非自立,*,*,五段・サ行,連用形,いたす,イタシ,イタシ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
住宅	名詞,一般,*,*,*,*,住宅,ジュウタク,ジュータク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
囲ま	動詞,自立,*,*,五段・マ行,未然形,囲む,カコマ,カコマ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
市街地	名詞,一般,*,*,*,*,市街地,シガイチ,シガイチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
真ん中	名詞,一般,*,*,*,*,真ん中,マンナカ,マンナカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
普天間飛行場	名詞,固有名詞,一般,*,*,*,普天間飛行場,フテンマヒコウジョウ,フテンマヒコウジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
返還	名詞,サ変接続,*,*,*,*,返還,ヘンカン,ヘンカン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、	記号,読点,*,*,*,*,、,、,、
必ずや	副詞,一般,*,*,*,*,必ずや,カナラズヤ,カナラズヤ
実現	名詞,サ変接続,*,*,*,*,実現,ジツゲン,ジツゲン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
引き続き	副詞,一般,*,*,*,*,引き続き,ヒキツヅキ,ヒキツズキ
沖縄	名詞,固有名詞,地域,一般,*,*,沖縄,オキナワ,オキナワ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方々	名詞,一般,*,*,*,*,方々,カタガタ,カタガタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
得る	動詞,自立,*,*,一段,基本形,得る,エル,エル
努力	名詞,サ変接続,*,*,*,*,努力,ドリョク,ドリョク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
続け	動詞,自立,*,*,一段,連用形,続ける,ツヅケ,ツズケ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、	記号,読点,*,*,*,*,、,、,、
名護市辺野古	名詞,固有名詞,地域,一般,*,*,名護市辺野古,ナゴシヘノコ,ナゴシヘノコ
沖	名詞,一般,*,*,*,*,沖,オキ,オキ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
移設	名詞,サ変接続,*,*,*,*,移設,イセツ,イセツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
今後	名詞,副詞可能,*,*,*,*,今後,コンゴ,コンゴ
も	助詞,係助詞,*,*,*,*,も,モ,モ
、	記号,読点,*,*,*,*,、,、,、
日	名詞,固有名詞,地域,国,*,*,日,ニチ,ニチ
米	名詞,固有名詞,地域,国,*,*,米,ベイ,ベイ
両国	名詞,一般,*,*,*,*,両国,リョウコク,リョーコク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
強固	名詞,形容動詞語幹,*,*,*,*,強固,キョウコ,キョーコ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
信頼	名詞,サ変接続,*,*,*,*,信頼,シンライ,シンライ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
下	名詞,一般,*,*,*,*,下,シタ,シタ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
裏付け	名詞,一般,*,*,*,*,裏付け,ウラヅケ,ウラズケ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
「	記号,括弧開,*,*,*,*,「,「,「
言葉	名詞,一般,*,*,*,*,言葉,コトバ,コトバ
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
「	記号,括弧開,*,*,*,*,「,「,「
行動	名詞,サ変接続,*,*,*,*,行動,コウドウ,コードー
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
沖縄	名詞,固有名詞,地域,一般,*,*,沖縄,オキナワ,オキナワ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基地	名詞,一般,*,*,*,*,基地,キチ,キチ
負担	名詞,サ変接続,*,*,*,*,負担,フタン,フタン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
軽減	名詞,サ変接続,*,*,*,*,軽減,ケイゲン,ケイゲン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
取り組ん	動詞,自立,*,*,五段・マ行,連用タ接続,取り組む,トリクン,トリクン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
地域	名詞,一般,*,*,*,*,地域,チイキ,チイキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
平和	名詞,形容動詞語幹,*,*,*,*,平和,ヘイワ,ヘイワ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
繁栄	名詞,サ変接続,*,*,*,*,繁栄,ハンエイ,ハンエイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
大きな	連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ
責任	名詞,一般,*,*,*,*,責任,セキニン,セキニン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
持つ	動詞,自立,*,*,五段・タ行,基本形,持つ,モツ,モツ
、	記号,読点,*,*,*,*,、,、,、
切っ	動詞,自立,*,*,五段・ラ行,連用タ接続,切る,キッ,キッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
切れ	動詞,自立,*,*,一段,未然形,切れる,キレ,キレ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
昨年	名詞,副詞可能,*,*,*,*,昨年,サクネン,サクネン
十一月	名詞,副詞可能,*,*,*,*,十一月,ジュウイチガツ,ジューイチガツ
、	記号,読点,*,*,*,*,、,、,、
習近平	名詞,固有名詞,一般,*,*,*,習近平,シュウキンヘイ,シュウキンヘイ
国家	名詞,一般,*,*,*,*,国家,コッカ,コッカ
主席	名詞,一般,*,*,*,*,主席,シュセキ,シュセキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
首脳会談	名詞,固有名詞,一般,*,*,*,首脳会談,シュノウカイダン,シュノウカイダン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
戦略的互恵関係	名詞,固有名詞,一般,*,*,*,戦略的互恵関係,センリャクテキゴケイカンケイ,センリャクテキゴケイカンケイ
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原則	名詞,一般,*,*,*,*,原則,ゲンソク,ゲンソク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
改善	名詞,サ変接続,*,*,*,*,改善,カイゼン,カイゼン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
向け	動詞,自立,*,*,一段,連用形,向ける,ムケ,ムケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
大きな	連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ
一歩	名詞,固有名詞,人名,名,*,*,一歩,イチホ,イチホ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
踏み出し	動詞,自立,*,*,五段・サ行,連用形,踏み出す,フミダシ,フミダシ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
今後	名詞,副詞可能,*,*,*,*,今後,コンゴ,コンゴ
、	記号,読点,*,*,*,*,、,、,、
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
レベル	名詞,一般,*,*,*,*,レベル,レベル,レベル
で	助詞,格助詞,一般,*,*,*,で,デ,デ
対話	名詞,サ変接続,*,*,*,*,対話,タイワ,タイワ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
深め	動詞,自立,*,*,一段,連用形,深める,フカメ,フカメ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、	記号,読点,*,*,*,*,、,、,、
大局	名詞,一般,*,*,*,*,大局,タイキョク,タイキョク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
観点	名詞,一般,*,*,*,*,観点,カンテン,カンテン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
安定	名詞,形容動詞語幹,*,*,*,*,安定,アンテイ,アンテイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
友好	名詞,一般,*,*,*,*,友好,ユウコウ,ユーコー
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
発展	名詞,サ変接続,*,*,*,*,発展,ハッテン,ハッテン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
、	記号,読点,*,*,*,*,、,、,、
国際社会	名詞,固有名詞,一般,*,*,*,国際社会,コクサイシャカイ,コクサイシャカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
期待	名詞,サ変接続,*,*,*,*,期待,キタイ,キタイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応え	動詞,自立,*,*,一段,連用形,応える,コタエ,コタエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
最も	副詞,一般,*,*,*,*,最も,モットモ,モットモ
重要	名詞,形容動詞語幹,*,*,*,*,重要,ジュウヨウ,ジューヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
隣国	名詞,一般,*,*,*,*,隣国,リンゴク,リンゴク
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
日韓	名詞,固有名詞,一般,*,*,*,日韓,ニッカン,ニッカン
国交	名詞,一般,*,*,*,*,国交,コッコウ,コッコー
正常化	名詞,固有名詞,一般,*,*,*,正常化,セイジョウカ,セイジョウカ
五	名詞,数,*,*,*,*,五,ゴ,ゴ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
周年	名詞,接尾,助数詞,*,*,*,周年,シュウネン,シューネン
